id,year
1,1880.0
2,1951.0
6,1952.0
10,1976.0
370,1902.0
379,1919.0
390,1949.0
392,1814.0
398,1930.0
417,1920.0
423,1974.0
424,1925.0
425,1769.0
426,1949.0
427,1838.0
432,1959.0
433,1981.0
446,1957.0
447,2001.0
448,1806.0
453,1766.0
454,1949.0
458,2002.0
461,1835.0
462,1873.0
463,1860.0
465,1900.0
466,1883.0
2276,1899.0
2278,1969.0
48915,2008.0
2284,1977.0
2290,1895.0
2294,1880.0
2295,1898.0
2296,1969.0
2298,1939.0
50693,
2301,1822.0
2302,1869.0
2304,1942.0
2305,1971.0
2313,1984.0
2318,1914.0
2320,1803.0
2325,1954.0
2329,1932.0
2340,1950.0
2345,1805.0
48954,2009.0
2346,1923.0
2353,1886.0
4883,1920.0
4884,1896.0
4885,1933.0
4888,1945.0
4893,1836.0
4899,1865.0
4900,1842.0
4903,1858.0
4905,1952.0
4906,1908.0
4907,1855.0
4910,1968.0
4913,1938.0
4917,1814.0
4922,1934.0
4925,1929.0
4926,1922.0
4928,1907.0
4934,1993.0
4935,1871.0
4936,1892.0
4937,1913.0
4938,1933.0
4942,1790.0
4944,1704.0
4946,1842.0
4947,1904.0
4948,1886.0
4949,1910.0
4954,1965.0
44876,2006.0
4957,1994.0
4974,1892.0
4975,1902.0
56133,2012.0
4976,1989.0
4977,1916.0
4984,1929.0
4986,1893.0
4993,1949.0
5005,1961.0
5009,1937.0
5011,1798.0
30443,2004.0
5018,2001.0
5021,1938.0
5023,1943.0
5024,2002.0
5026,1949.0
48975,2008.0
5028,1924.0
5029,1811.0
47355,2004.0
5032,1859.0
5034,1859.0
5035,1921.0
5037,1877.0
36591,2002.0
5039,1893.0
5040,1940.0
5041,1905.0
5042,1827.0
5043,1887.0
5045,1999.0
5051,1984.0
5056,1923.0
5059,1843.0
5060,1895.0
5063,1796.0
5064,1899.0
5065,1941.0
5068,1906.0
5071,1909.0
5072,1833.0
5076,1938.0
5090,1977.0
5093,1804.0
5097,1962.0
5098,1916.0
5110,1808.0
5111,1894.0
5112,1930.0
5113,1852.0
5114,1812.0
5117,1823.0
57168,2003.0
57167,2011.0
5121,1969.0
5128,1886.0
5133,1847.0
5134,1956.0
5135,1855.0
5140,1933.0
5156,1960.0
30448,2001.0
5163,1964.0
48653,2007.0
5165,1942.0
5169,1919.0
5175,1990.0
5177,1946.0
5178,1863.0
5181,1852.0
5183,1861.0
48654,2008.0
5185,1870.0
5186,1886.0
5187,1919.0
45976,2007.0
5200,1916.0
5249,1991.0
5250,1964.0
5251,1861.0
5252,1866.0
5253,1973.0
5260,1846.0
5264,1934.0
45817,2007.0
5265,1902.0
5291,1874.0
5292,1791.0
5293,1848.0
5295,1583.0
5296,1810.0
5306,1988.0
5307,1956.0
5308,1840.0
5313,1998.0
5314,1814.0
5315,1907.0
5316,1933.0
5320,1838.0
5321,1885.0
5322,1977.0
5325,1812.0
5328,1835.0
5329,1810.0
5330,1834.0
5331,1815.0
5332,1841.0
5334,1925.0
5338,1988.0
57165,2013.0
47347,2007.0
5339,1964.0
5340,1933.0
5341,1901.0
5342,1939.0
5344,1880.0
5345,1981.0
5349,1938.0
5355,1988.0
5356,1966.0
5357,1978.0
5364,1979.0
5374,1984.0
5383,1822.0
5395,1917.0
5397,1838.0
5401,1994.0
5403,1890.0
5418,1965.0
5451,1844.0
5465,1917.0
5470,1936.0
5474,1877.0
5476,1892.0
5477,1902.0
5496,1919.0
5500,1877.0
5504,1981.0
5511,1878.0
5513,1868.0
5514,1868.0
6603,1804.0
6604,1998.0
51559,2008.0
6621,1887.0
6634,1829.0
6642,1897.0
6649,1911.0
6660,1967.0
6664,2001.0
6693,1962.0
6694,2001.0
6696,1994.0
6698,1976.0
6699,1848.0
7640,1860.0
47350,2007.0
7642,1906.0
7649,1957.0
7652,1884.0
7656,1961.0
7657,1999.0
7658,1903.0
7659,1864.0
7661,1907.0
7706,1995.0
7707,1899.0
7708,1970.0
7718,1805.0
7722,1962.0
7723,1932.0
7725,1976.0
7728,1827.0
7731,1939.0
7736,1951.0
7743,1999.0
7745,1865.0
7749,1976.0
7750,1815.0
7752,1853.0
7754,1943.0
7755,1970.0
7757,1872.0
7758,1933.0
7760,1947.0
7774,1961.0
7775,1785.0
7776,1939.0
7777,1916.0
7807,1989.0
45977,1977.0
7819,1993.0
7822,1998.0
7823,1399.0
7824,1951.0
10019,1925.0
10033,1900.0
10038,1974.0
10039,1491.0
10041,1822.0
10042,1940.0
10043,1911.0
10044,1889.0
10049,1812.0
10051,1837.0
10055,1957.0
10059,1879.0
10074,1890.0
10075,1934.0
10078,1844.0
10079,1934.0
10080,1875.0
10081,1900.0
10086,1924.0
10088,1889.0
10091,1996.0
10107,1894.0
10111,1922.0
10119,1890.0
10120,1942.0
10123,1924.0
10163,1900.0
10164,1829.0
10166,1944.0
10177,1868.0
52412,1945.0
10836,1882.0
10838,1654.0
10839,1822.0
10840,1977.0
10846,1826.0
10848,1952.0
10849,1952.0
10850,1995.0
10851,1897.0
10854,1960.0
10860,1917.0
10861,1950.0
44882,1984.0
10866,2000.0
10870,1950.0
10914,1909.0
10917,1853.0
10919,1947.0
10923,1990.0
10924,1939.0
10926,1918.0
10930,1991.0
10936,1879.0
10948,1865.0
10949,1974.0
10956,1964.0
11196,1976.0
50911,2009.0
11206,1861.0
11207,1837.0
11208,1881.0
11426,1841.0
11429,1910.0
11432,1932.0
11435,1996.0
11436,1983.0
11437,1980.0
11439,1892.0
11440,1891.0
11442,1972.0
11443,1949.0
11448,1982.0
11449,1984.0
11450,1904.0
11464,1814.0
11465,1981.0
11466,1851.0
11467,1930.0
11468,1817.0
11472,1934.0
11479,1944.0
11485,1959.0
11824,1878.0
11829,1921.0
11830,1961.0
11842,1859.0
11848,1910.0
11852,1890.0
11855,1628.0
11859,1971.0
11869,1922.0
11870,1910.0
11875,1857.0
11878,1869.0
11883,1897.0
11884,1804.0
11889,2003.0
44714,2003.0
11893,1954.0
11894,1912.0
11895,1923.0
11901,1875.0
11904,1825.0
11913,1956.0
11915,1963.0
11916,1751.0
54719,2010.0
11986,1877.0
11989,1901.0
11992,1870.0
11993,1957.0
11994,1949.0
11995,1936.0
12000,1956.0
12003,1977.0
12004,1975.0
12027,1891.0
12028,1917.0
12037,1963.0
12039,1977.0
12043,1972.0
12049,1954.0
12053,1928.0
12056,1879.0
12058,1990.0
12063,1938.0
12065,1903.0
12067,1926.0
12068,1990.0
12069,1621.0
12072,1866.0
12074,1979.0
12078,1889.0
12079,1901.0
51589,2009.0
12085,1873.0
12086,1964.0
12087,1890.0
12171,1976.0
47362,2006.0
12173,1877.0
12198,1924.0
12199,1974.0
12202,1819.0
12203,1997.0
12207,1876.0
12209,1984.0
12210,1976.0
12213,1968.0
12214,1821.0
12218,1857.0
12220,1971.0
12221,1822.0
12222,1838.0
12227,1908.0
12228,1980.0
12229,1937.0
12230,1890.0
12231,1858.0
12232,1951.0
12236,1879.0
12238,1942.0
12240,1913.0
12241,1902.0
12243,1959.0
12245,1908.0
12246,1897.0
12251,1942.0
47357,2004.0
12253,1937.0
12256,1840.0
12258,1963.0
12260,1949.0
12262,1905.0
12263,1955.0
12264,1930.0
12266,1938.0
30740,2003.0
35465,1999.0
47351,2006.0
12268,1961.0
12270,1940.0
53654,2008.0
12275,1939.0
12276,2003.0
12282,1874.0
12284,1869.0
12286,1850.0
12288,1873.0
12289,1932.0
12291,1787.0
12294,1860.0
12296,1867.0
12297,1929.0
12298,1910.0
