id,mass,GeoLocation
30448,5300.0,"(39.77978, 64.60035)"
5163,2250.0,
48653,324.0,"(-31.35, 129.19)"
5165,357.0,"(10.01667, 9.58333)"
5169,120000.0,"(5.0, 48.0)"
5175,1504.0,"(37.62194, -82.23722)"
5177,25000.0,"(40.2, 29.23333)"
5178,5000.0,"(46.45, 25.78333)"
5181,1500.0,"(26.78333, 82.83333)"
5183,29000.0,"(27.08333, 84.08333)"
48654,41000.0,"(52.996, -109.84817)"
5185,25000.0,"(37.98333, -1.16667)"
5186,48500.0,"(35.5, -93.5)"
5187,212.0,"(43.83889, 20.33333)"
45976,478.0,"(3.405, -76.51)"
5200,2400.0,"(11.75, 122.33333)"
5249,23680.0,"(-7.03333, -40.16667)"
5250,4000.0,"(39.8, 26.6)"
5251,945.0,"(41.25, 1.66667)"
5252,34000.0,"(43.38333, -5.15)"
5253,1400.0,"(38.47028, -105.24139)"
5260,2300.0,"(37.26667, -89.58333)"
5264,750.0,"(-30.88333, -64.55)"
45817,342.0,"(-16.66444, -69.04389)"
5265,8.0,"(38.5, 27.0)"
5291,7300.0,"(36.08333, -78.06667)"
5292,,"(43.35, 11.5)"
5293,94.0,"(44.38333, -68.75)"
5295,15000.0,"(39.8, 16.2)"
5296,1360.0,"(36.5, -79.25)"
5306,1025.0,"(26.46667, -105.23333)"
5307,45.6,"(43.2, -96.91667)"
5308,6460.0,"(45.08333, 8.3)"
5313,3700.0,"(28.53333, 109.31667)"
5314,0.5,"(25.36667, 81.66667)"
5315,8200.0,"(25.85, 83.48333)"
5316,18300.0,"(-30.78333, -58.05)"
5320,8800.0,"(20.26667, 76.01667)"
5321,1100.0,"(27.28333, 79.05)"
5322,1810.0,"(29.08333, 111.75)"
5325,31500.0,"(46.68333, 1.05)"
5328,4300.0,"(36.16667, -87.33333)"
5329,27000.0,"(47.93333, 1.56667)"
5330,12000.0,"(29.48333, 75.5)"
5331,4000.0,"(47.71667, 5.36667)"
5332,30000.0,"(47.93333, 2.91667)"
5334,2945.0,"(41.93333, -7.46667)"
5338,2936.0,"(-3.66667, 32.5)"
57165,100000.0,"(54.81667, 61.11667)"
47347,100000.0,"(23.69639, -5.01472)"
5339,6000.0,"(53.7, 30.1)"
5340,8400.0,"(35.03333, -81.88333)"
5341,705.0,"(46.55, 6.81667)"
5342,1700.0,"(50.83333, 34.0)"
5344,72.0,"(14.5, 76.5)"
5345,367.0,"(17.9, 101.63333)"
5349,303.0,"(40.93333, -79.73333)"
5355,3920.0,"(-10.05944, 33.395)"
5356,,"(-17.35, 13.96667)"
5357,4000.0,"(47.47083, 0.97667)"
5364,1600.0,"(-6.95, 108.1)"
5374,1455.0,"(32.1025, -81.87278)"
5383,48.6,
5395,104000.0,"(44.9, -90.28333)"
5397,5200.0,"(-33.13333, 19.38333)"
5401,469.0,"(43.76111, -84.50778)"
5403,5000.0,"(42.53333, 12.61667)"
5418,20350.0,"(-19.85, -47.55)"
5451,1200.0,"(21.16667, -100.86667)"
5465,1460.0,"(10.2, 76.26667)"
5470,78.4,"(35.95, -97.58333)"
5474,3650.0,"(-27.7, 27.3)"
5476,167.0,"(35.63333, -78.13333)"
5477,4255.0,"(54.61667, -6.21667)"
5496,17000.0,"(36.83333, -84.35)"
5500,6000.0,"(38.4, -84.25)"
5504,18000.0,"(35.61667, 8.83333)"
5511,5650.0,"(26.91667, 83.96667)"
5513,1064.0,"(-28.2, 24.56667)"
5514,2000.0,"(34.4, -87.06667)"
6603,100.0,"(49.86667, 8.65)"
6604,7000.0,"(41.98444, 59.685)"
51559,6580.0,"(-1.87089, -79.95756)"
6621,340.0,"(43.0, -80.0)"
6634,28.0,"(40.25, -74.0)"
6642,0.8,"(28.56667, 77.25)"
6649,16400.0,"(51.46667, 84.76667)"
6660,230.0,"(39.7825, -104.93056)"
6664,12500.0,"(26.68333, 93.86667)"
6693,25400.0,"(25.73333, 73.61667)"
6694,12000.0,"(19.0, 81.0)"
6696,1140.0,"(24.225, 76.525)"
6698,45000.0,"(22.37778, 71.42722)"
6699,1800.0,"(14.88333, 75.6)"
7640,32000.0,"(32.23333, 76.46667)"
47350,3396.0,"(37.35172, 27.32997)"
7642,1000.0,"(-33.75, 18.56667)"
7649,400.0,"(-31.88333, -60.46667)"
7652,166000.0,"(-7.5, 111.5)"
7656,3950.0,"(12.73333, 15.05)"
7657,10000.0,"(36.95, 9.55)"
7658,3840.0,"(23.5, 90.33333)"
7659,1600.0,"(50.75, 25.3)"
7661,438.0,"(40.0, 29.0)"
7706,128800.0,"(45.5, 119.03333)"
7707,230.0,"(21.86667, 82.45)"
7708,5500.0,"(32.91667, 120.78333)"
7718,3891.0,"(51.2, 112.3)"
7722,1250.0,"(13.05, 3.16667)"
7723,1161.0,"(32.33333, -6.3)"
7725,642.0,"(-13.66667, 33.91667)"
7728,5000.0,"(36.4, -86.5)"
